,MoH,AL-21,M2,VT,WeN3,SWAN-1,SMA-27,E09F3,BRM9,congo,A8P,MK4,petro,CANT
deoxyhypusine monooxygenase activity,8.0,9.0,11.0,7.0,0.0,6.0,7.0,7.0,5.0,7.0,9.0,11.0,7.0,2.0
Acetyltransferase (GNAT) domain,8.0,3.0,10.0,3.0,8.0,1.0,3.0,2.0,6.0,3.0,5.0,10.0,6.0,7.0
Methyltransferase type 11,7.0,6.0,7.0,3.0,5.0,5.0,4.0,5.0,7.0,5.0,6.0,7.0,9.0,3.0
amino acid,7.0,4.0,6.0,6.0,2.0,2.0,3.0,2.0,1.0,2.0,0.0,6.0,0.0,0.0
PRC-barrel domain protein,7.0,3.0,7.0,3.0,0.0,2.0,6.0,2.0,0.0,1.0,1.0,7.0,0.0,0.0
PFAM PKD domain containing protein,7.0,0.0,6.0,0.0,2.0,1.0,2.0,5.0,2.0,4.0,0.0,6.0,3.0,0.0
transcriptional,7.0,6.0,8.0,8.0,6.0,3.0,6.0,4.0,7.0,7.0,4.0,8.0,7.0,3.0
DNA-dependent RNA polymerase catalyzes the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates,7.0,7.0,7.0,7.0,7.0,6.0,7.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0
PFAM Carboxymuconolactone decarboxylase,6.0,3.0,6.0,3.0,3.0,4.0,1.0,4.0,6.0,4.0,5.0,6.0,5.0,2.0
Polysaccharide biosynthesis protein,6.0,4.0,7.0,6.0,2.0,3.0,6.0,5.0,2.0,3.0,1.0,7.0,2.0,3.0
CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase,6.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
PFAM Oligosaccharyl transferase STT3 subunit,6.0,2.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,4.0,2.0,4.0,2.0,2.0
Domain of unknown function (DUF1724),6.0,0.0,6.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,6.0,2.0,1.0
Domain in cystathionine beta-synthase and other proteins.,6.0,6.0,6.0,6.0,4.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,4.0
helix_turn_helix multiple antibiotic resistance protein,6.0,3.0,6.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,6.0,1.0,3.0
PFAM ABC-2 type transporter,6.0,7.0,5.0,5.0,3.0,5.0,5.0,4.0,5.0,3.0,8.0,5.0,6.0,4.0
"ABC-type antimicrobial peptide transport system, ATPase component",6.0,4.0,8.0,2.0,3.0,4.0,2.0,4.0,6.0,4.0,5.0,8.0,2.0,1.0
Histidine kinase-like ATPases,6.0,9.0,6.0,9.0,0.0,0.0,12.0,0.0,2.0,1.0,2.0,6.0,1.0,0.0
Rubrerythrin,6.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,1.0,2.0,3.0,2.0,2.0
"Rubredoxin is a small nonheme, iron protein lacking acid-labile sulfide. Its single Fe, chelated to 4 Cys, functions as an electron acceptor and may also stabilize the conformation of the molecule",6.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,2.0
PFAM Deoxyribonuclease rho motif-related TRAM,6.0,4.0,5.0,5.0,3.0,3.0,5.0,3.0,3.0,3.0,4.0,5.0,3.0,3.0
Belongs to the DegT DnrJ EryC1 family,6.0,2.0,5.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,2.0,5.0,3.0,3.0
"COG0491 Zn-dependent hydrolases, including glyoxylases",6.0,4.0,6.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,6.0,2.0,0.0
PRC-barrel domain,5.0,5.0,5.0,6.0,3.0,6.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0
Belongs to the P(II) protein family,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0
COG0382 4-hydroxybenzoate polyprenyltransferase and related prenyltransferases,5.0,3.0,6.0,2.0,3.0,3.0,2.0,3.0,1.0,3.0,2.0,6.0,1.0,2.0
Putative TM nitroreductase,5.0,2.0,4.0,3.0,3.0,1.0,3.0,3.0,3.0,2.0,2.0,4.0,3.0,1.0
Methyltransferase,5.0,2.0,6.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0
Belongs to the small heat shock protein (HSP20) family,5.0,7.0,5.0,8.0,3.0,4.0,9.0,4.0,3.0,2.0,3.0,5.0,3.0,2.0
binds to the 23S rRNA,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0
ribosomal protein,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
PFAM transcriptional regulator PadR family protein,5.0,4.0,5.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,0.0,5.0,3.0,0.0
Belongs to the class-I aminoacyl-tRNA synthetase family,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Flavodoxin,5.0,4.0,5.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,5.0,4.0,4.0
"formylmethanofuran dehydrogenase, subunit E",5.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,3.0,1.0
CAAX protease self-immunity,5.0,4.0,8.0,3.0,4.0,3.0,3.0,4.0,4.0,6.0,3.0,8.0,5.0,6.0
Short repeat of unknown function (DUF308),5.0,4.0,5.0,5.0,7.0,4.0,5.0,5.0,3.0,4.0,4.0,5.0,6.0,7.0
COG0589 Universal stress protein UspA and related nucleotide-binding proteins,5.0,4.0,6.0,6.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,6.0,5.0,2.0
Peptidoglycan-binding domain 1 protein,5.0,0.0,4.0,0.0,1.0,3.0,0.0,5.0,3.0,5.0,4.0,4.0,1.0,0.0
Roadblock LC7 family protein,5.0,3.0,7.0,5.0,6.0,5.0,4.0,5.0,9.0,5.0,5.0,7.0,3.0,2.0
ATP-grasp domain,4.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0
ATP cone domain,4.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0
PFAM Sugar isomerase (SIS),4.0,4.0,4.0,5.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Regulatory protein MarR,4.0,6.0,4.0,4.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0
Right handed beta helix region,4.0,6.0,8.0,0.0,6.0,2.0,0.0,0.0,0.0,1.0,1.0,8.0,4.0,0.0
Hemerythrin HHE cation binding,4.0,1.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
synthase,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"Is involved in the reduction of 2,3- digeranylgeranylglycerophospholipids (unsaturated archaeols) into 2,3-diphytanylglycerophospholipids (saturated archaeols) in the biosynthesis of archaeal membrane lipids. Catalyzes the formation of archaetidic acid (2,3-di-O-phytanyl-sn-glyceryl phosphate) from 2,3-di-O-geranylgeranylglyceryl phosphate (DGGGP) via the hydrogenation of each double bond of the isoprenoid chains",4.0,2.0,4.0,3.0,4.0,3.0,5.0,3.0,4.0,3.0,3.0,4.0,4.0,2.0
"Elongator protein 3, MiaB family, Radical SAM",4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0
"ABC-type multidrug transport system, ATPase component",4.0,2.0,3.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0
ABC transporter,4.0,2.0,1.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0
Catalyzes the reversible reduction of methylene-H(4)MPT to methyl-H(4)MPT,4.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
"Polymorphic membrane protein, Chlamydia",4.0,9.0,4.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0
"Peptidase C39, bacteriocin processing",4.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0
protein conserved in archaea,4.0,3.0,3.0,4.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0
ATPases associated with a variety of cellular activities,4.0,3.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0
"helix_turn_helix, Arsenical Resistance Operon Repressor",4.0,2.0,4.0,3.0,4.0,3.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,3.0
Domain of unknown function (DUF362),4.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,1.0,1.0
Alpha/beta hydrolase family,4.0,2.0,4.0,2.0,3.0,2.0,5.0,2.0,2.0,2.0,0.0,4.0,0.0,5.0
"PFAM Cobyrinic acid a,c-diamide synthase",4.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
"LexA-binding, inner membrane-associated putative hydrolase",4.0,4.0,4.0,3.0,2.0,2.0,4.0,6.0,2.0,4.0,2.0,4.0,2.0,4.0
4Fe-4S single cluster domain,4.0,2.0,6.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,5.0,6.0,2.0,3.0
"Uncharacterised ArCR, COG2043",4.0,4.0,5.0,3.0,3.0,2.0,4.0,5.0,3.0,4.0,4.0,5.0,1.0,2.0
integrase family,4.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0,1.0
Glycosyl transferases group 1,4.0,6.0,5.0,3.0,0.0,3.0,4.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0
membrane transporter protein,4.0,4.0,5.0,1.0,1.0,3.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0
"SMART ATPase, AAA type, core",4.0,10.0,4.0,8.0,5.0,8.0,6.0,5.0,5.0,6.0,6.0,4.0,5.0,5.0
Methyl-coenzyme M reductase,4.0,3.0,4.0,3.0,6.0,3.0,2.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0
PFAM periplasmic binding protein,4.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0
Produces ATP from ADP in the presence of a proton gradient across the membrane,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
4Fe-4S ferredoxin iron-sulfur binding domain protein,4.0,1.0,2.0,1.0,5.0,2.0,1.0,0.0,6.0,0.0,5.0,2.0,5.0,0.0
"Part of ribonuclease P, a protein complex that generates mature tRNA molecules by cleaving their 5'-ends",4.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
"Binds double-stranded DNA tightly but without sequence specificity. It is distributed uniformly and abundantly on the chromosome, suggesting a role in chromatin architecture. However, it does not significantly compact DNA. Binds rRNA and mRNA in vivo. May play a role in maintaining the structural and functional stability of RNA, and, perhaps, ribosomes",4.0,2.0,4.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0
Conserved repeat domain,4.0,4.0,8.0,1.0,1.0,3.0,2.0,8.0,3.0,4.0,4.0,8.0,5.0,1.0
SMART Elongator protein 3 MiaB NifB,4.0,3.0,4.0,6.0,5.0,1.0,9.0,3.0,5.0,2.0,5.0,4.0,7.0,1.0
Belongs to the UPF0305 family,3.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0,4.0,3.0,2.0,2.0
ABC-type multidrug transport system ATPase component,3.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,4.0,2.0,3.0,1.0
Protein of unknown function DUF86,3.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0
"PFAM Glycosyl transferase, group 1",3.0,6.0,5.0,2.0,2.0,7.0,5.0,1.0,1.0,5.0,0.0,5.0,2.0,3.0
Glycosyl transferase 4-like,3.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,3.0,3.0,3.0,2.0
"transcriptional regulator, ArsR family",3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
Pyridine nucleotide-disulphide oxidoreductase,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0
ABC-2 family transporter protein,3.0,3.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,2.0,0.0
Protein-export membrane protein SecD,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
membrane-associated protein,3.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,2.0,3.0,1.0,1.0
Belongs to the class-II aminoacyl-tRNA synthetase family,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0
ATPase domain predominantly from Archaea,3.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0
PD-(D/E)XK nuclease superfamily,3.0,2.0,1.0,0.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0
DNA polymerase beta domain protein region,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0
"AAA domain, putative AbiEii toxin, Type IV TA system",3.0,1.0,2.0,0.0,2.0,1.0,1.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0
Part of the energy-coupling factor (ECF) transporter complex CbiMNOQ involved in cobalt import,3.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0
Flavin reductase like domain,3.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0
PFAM Flavodoxin nitric oxide synthase,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0
Nitroreductase family,3.0,1.0,4.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,2.0
PBS lyase HEAT-like repeat,3.0,1.0,3.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,3.0,2.0,1.0
Binding-protein-dependent transport system inner membrane component,3.0,1.0,4.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,1.0,0.0
Zinc dependent phospholipase C,3.0,3.0,3.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,2.0
tetratricopeptide,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
Glycosyltransferase,3.0,1.0,0.0,2.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0
Molybdopterin oxidoreductase Fe4S4 domain,3.0,1.0,2.0,1.0,2.0,2.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0
Part of the phosphoribosylformylglycinamidine synthase complex involved in the purines biosynthetic pathway. Catalyzes the ATP-dependent conversion of formylglycinamide ribonucleotide (FGAR) and glutamine to yield formylglycinamidine ribonucleotide (FGAM) and glutamate. The FGAM synthase complex is composed of three subunits. PurQ produces an ammonia molecule by converting glutamine to glutamate. PurL transfers the ammonia molecule to FGAR to form FGAM in an ATP-dependent manner. PurS interacts with PurQ and PurL and is thought to assist in the transfer of the ammonia molecule from PurQ to PurL,3.0,5.0,3.0,6.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Short C-terminal domain,3.0,2.0,2.0,1.0,0.0,2.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,0.0
Belongs to the UDP-glucose GDP-mannose dehydrogenase family,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.0,2.0,2.0,2.0,3.0
Protein of unknown function (DUF2795),3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
"ATPase, P-type, K Mg Cd Cu Zn Na Ca Na H-transporter",3.0,5.0,2.0,5.0,1.0,6.0,4.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0
Periplasmic copper-binding protein (NosD),3.0,5.0,5.0,1.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
COG0589 Universal stress protein UspA and related nucleotide-binding,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0
PFAM Sulfate transporter antisigma-factor antagonist STAS,3.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0
Catalyzes the reduction of hydroxylamine to form NH(3) and H(2)O,3.0,2.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,2.0,1.0,1.0
TIGRFAM parallel beta-helix,3.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0
hydrolases or acyltransferases (alpha beta hydrolase superfamily),3.0,5.0,6.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,6.0,1.0,0.0
"Catalyzes the radical-mediated transfer of the hydroxybenzyl group from 4-hydroxyphenylpyruvate (HPP) to 5-amino- 6-ribitylamino-2,4(1H,3H)-pyrimidinedione to form 7,8-didemethyl- 8-hydroxy-5-deazariboflavin (FO)",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0
Belongs to the carbohydrate kinase PfkB family,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,4.0
Transcriptional regulator PadR-like family,3.0,2.0,3.0,1.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,0.0
AAA domain,3.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0
PFAM Pyridoxamine 5'-phosphate,3.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,5.0,2.0,3.0,3.0,1.0
Belongs to the UPF0145 family,3.0,3.0,3.0,2.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0
Dimerisation domain,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
Glycosyl transferase family 2,3.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,4.0,6.0,5.0,3.0,3.0,2.0
TIGRFAM molybdenum cofactor synthesis,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"PFAM ATP-binding region, ATPase domain protein",3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
"Protein of unknown function, DUF488",3.0,2.0,3.0,1.0,1.0,3.0,2.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0
ATP-binding (A) component of a common energy-coupling factor (ECF) ABC-transporter complex. Unlike classic ABC transporters this ECF transporter provides the energy necessary to transport a number of different substrates,3.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0
Uncharacterized conserved protein (DUF2149),3.0,3.0,3.0,0.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,1.0
Metallo-beta-lactamase superfamily,3.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,1.0
Hexapeptide repeat of succinyl-transferase,3.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,2.0
CBS domain,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0
Helix-turn-helix XRE-family like proteins,3.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0
ferredoxin oxidoreductase,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0
Histone-like transcription factor (CBF/NF-Y) and archaeal histone,3.0,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0
eIF-2 functions in the early steps of protein synthesis by forming a ternary complex with GTP and initiator tRNA,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Belongs to the NiFe NiFeSe hydrogenase large subunit family,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
Flavodoxin-like fold,3.0,1.0,4.0,0.0,1.0,3.0,1.0,3.0,4.0,2.0,2.0,4.0,1.0,0.0
"Serine aminopeptidase, S33",3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0
transcription factor (CBF NF-Y),3.0,2.0,3.0,7.0,2.0,2.0,7.0,3.0,3.0,2.0,3.0,3.0,3.0,1.0
Histidine kinase,3.0,3.0,4.0,5.0,5.0,0.0,5.0,2.0,0.0,1.0,0.0,4.0,0.0,3.0
PFAM regulatory protein TetR,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,3.0,2.0,0.0
Protein of unknown function (DUF1616),3.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,3.0,1.0
"A structure-specific endonuclease that resolves Holliday junction (HJ) intermediates during genetic recombination. Cleaves 4-way DNA junctions introducing paired nicks in opposing strands, leaving a 5'-terminal phosphate and a 3'-terminal hydroxyl group that are ligated to produce recombinant products",3.0,1.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,2.0,3.0,1.0,1.0
PFAM NADPH-dependent FMN reductase,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0
TIGRFAM Small GTP-binding protein,3.0,1.0,4.0,1.0,2.0,4.0,1.0,4.0,3.0,4.0,1.0,4.0,3.0,1.0
Dolichyl-phosphate-mannose-protein mannosyltransferase,3.0,1.0,2.0,2.0,0.0,2.0,1.0,0.0,4.0,2.0,3.0,2.0,3.0,2.0
Sigma factor PP2C-like phosphatases,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,1.0,1.0
Male sterility protein,3.0,2.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0
Protein of unknown function (DUF3892),3.0,1.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
metal-dependent membrane protease,3.0,1.0,5.0,2.0,6.0,1.0,1.0,1.0,6.0,1.0,2.0,5.0,2.0,1.0
PFAM Dinitrogenase iron-molybdenum cofactor,3.0,3.0,4.0,3.0,4.0,3.0,2.0,1.0,5.0,2.0,3.0,4.0,5.0,3.0
Binds and transfers iron-sulfur (Fe-S) clusters to target apoproteins. Can hydrolyze ATP,3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0
PFAM Class III signal peptide,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0
Phosphoesterase,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
"Coenzyme F420 hydrogenase dehydrogenase, beta subunit",3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
"PFAM Methyl-viologen-reducing hydrogenase, delta subunit",3.0,3.0,2.0,2.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0
Predicted membrane protein (DUF2142),3.0,1.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,0.0
Nucleotidyltransferase domain,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0
Calcineurin-like phosphoesterase superfamily domain,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
NADPH-dependent FMN reductase,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0
PFAM polysaccharide biosynthesis protein,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
HEPN domain,3.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,2.0,2.0
